time,device_id,login,channel,country,player,game
2015-01-01 04:42:42,2e7b5d8a543b173a0a6440a986a902577ae7f888,b80e9173c0aeeb850721762bd08119b3191a0593,frank,DE,,League of Legends
2015-01-01 17:56:18,7fa244515be5223029be0413fa27d8b10df84357,543ed71cdd0a51972950bfa13717c00eea27cad3,helen,BR,,Hearthstone: Heroes of Warcraft
2015-01-01 11:48:56,8d27640329ed2f08620cf4be22479618ec41910a,244ccf8ae3f79008f052b4dfcd98a739b132957d,estelle,DE,,Dota 2
2015-01-01 13:48:54,1df8ebc2643ffda317cb4f3d5cfa0777651e969e,19a9b17f1e7f7d63ad80b45557a80a1894871e5e,kramer,NO,,Counter-Strike: Global Offensive
2015-01-01 21:29:48,24f948d8987a7f02094f43ccc8da7d3a9ecbdbed,20bc195e925a53e62e0c81174e8357e3b76d0279,frank,US,,League of Legends
2015-01-01 04:16:16,cdc608e2a75fd9d9ca94728713e8d11c96dea6f6,a069a196074116c5084c6b0f9b4616c37527dfd4,frank,DE,iphone_t,League of Legends
2015-01-01 20:21:42,8b6dff1d2081d524d79d2a4f9a93f20d4bfcb435,79d6d35323c1eb6a1855e189f8c19f689e632298,frank,AU,,League of Legends
2015-01-01 08:17:52,c40c695e06555e81eab5a4f71cdf2751bda38431,66b029f58d50ea73e33354904dbada7195bfb84a,elaine,TW,android,Gaming Talk Shows
2015-01-01 17:37:34,534baad64717220212c0fc2271a9e79dab8389f0,2065c256dd091cd686b385c6397f4ce2f9412129,frank,US,,League of Legends
2015-01-01 01:03:00,0bba9415085b90821f097c1d2e5ff17041eab0a7,919887ab319a06caef67de96ddfa8e23ac989324,frank,US,ipad_t,League of Legends
2015-01-01 13:42:52,727ef3bdf3a5b61adff241a3839849f8bd0f28db,660eeaf48f43fe1a5e1485fc8d7a1a34d2fadd27,estelle,TH,,Dota 2
2015-01-01 16:19:49,050b1961cdabbab450371c1d3f66547d41b65dfa,09179f3685d2419a46951da52217efe6f5c0cc5d,newman,CA,,SpeedRunners
2015-01-01 23:50:14,5f426b25823ee21e58fc0f3fd992280274f511c8,60e902cc0c15c67ae418b01d0ea3f6777422719d,frank,US,iphone_t,League of Legends
2015-01-01 15:05:35,cd4afe149e632208de9b3e55f180ba21b0c72651,954dda47b01e7bf1e703226bf483d2158da91c59,frank,US,,League of Legends
2015-01-01 13:25:09,befe38472233791cf66ec5cb6be66e1b5a3bfd87,4abef96ddb42062985bb2f9c0f23965a6a77b46b,estelle,US,,Dota 2
2015-01-01 23:21:01,bd683d945ff0262ba6afeeb614295c037fdde49c,1da4e1e37afecf7f17d5ab359dd93c220177ed0d,frank,US,,League of Legends
2015-01-01 16:10:39,d757c3dbe737d371e324b64413c4f7108d29366a,57f04213824bda5ca263a08c0289c23ebc9b4bc7,frank,US,,League of Legends
2015-01-01 12:20:29,058fbca0bebda729e315438e42a7643edcc3c88e,2773372d0aee6f863675f66c239a9969342b368a,estelle,BR,,Dota 2
2015-01-01 15:20:53,3742d56522123ecfabc78925687c6b04817aac12,6c3f8420680f2c07679927f2e67bc6d9bc90bb0a,morty,NL,,Heroes of the Storm
2015-01-01 03:16:55,e711a68888be6256f50971b7d55d277d836de564,697474a9f0ef1a90440e09a7ede99924904e4100,frank,NL,,League of Legends
2015-01-01 19:10:56,292b1755df0408b2e75d49f461deab7f7a121997,68f081be15455962652e2a8b54e496905a7b578d,newman,US,android,The Binding of Isaac: Rebirth
2015-01-01 11:17:38,e0976ad5289fa80afbb45c2f6339b00d6c927dd0,c866763717b6925a8d4a8af670bf7cfe6507188f,estelle,US,,Dota 2
2015-01-01 16:55:53,c36e82d3c245e71506b10ba4bccec494e1c59b81,61f976778d22e7ec59d98cc5c1c22ac2fb86644b,helen,HR,,Hearthstone: Heroes of Warcraft
2015-01-01 15:33:51,23156113c65c5ad8492dfa59e7584d6d435ace4b,919887ab319a06caef67de96ddfa8e23ac989324,frank,US,,League of Legends
2015-01-01 04:21:26,5bf57e07edd4668eee9f5e08a814f2f53239b95a,f607a46f2863105e294982cfd806cea32dad645c,frank,US,,League of Legends
2015-01-01 13:46:19,9a9cb5e86ff44f6b9c7ada20dfc6327e647307dd,54ff4ac5458a1d9cd16a45963801e1df76b0d341,kramer,CA,,Counter-Strike: Global Offensive
2015-01-01 18:19:12,8d1bbcf9c45c2f26d5b3356ee2ca8d314f7a939e,44f3b4924c1b010e9584f4b51785e34c81e820d5,frank,GB,,League of Legends
2015-01-01 14:32:17,db934dab5d5d737be627588aeb800bfa0878c4c7,5638a5467eefa13b7a8563c9cbc23f28f45f23e4,kramer,NO,iphone_t,Counter-Strike: Global Offensive
2015-01-01 08:18:37,eea262bbf96b571b890f73b6d46b999fd4fc51b6,0d4322c4a030be981d76e8070bb943815a118848,elaine,HK,,Devil May Cry 4: Special Edition
2015-01-01 20:21:13,e550f2ffddb361aa32f8e5bfb20436e349131731,ecd2ef87e5c8123322485d16cb7884a7b4318076,helen,,,Hearthstone: Heroes of Warcraft
2015-01-01 16:45:50,4564a136dcfe2b4501f956c8306a70e284ee2e3f,f83606206298ca64028496f44bf3c9b07cbcb88e,morty,GR,,Heroes of the Storm
2015-01-01 19:42:00,7988015775e1b087b1a40bf331c4007ecc424ff8,d6f7b502f1e81e95fc8a623e5323157a781444e4,george,US,ipad_t,DayZ
2015-01-01 19:48:45,d393bfcb4b9956dc95e5c4f9a6709fa33f20a35b,e904d7de485c6d9f75eb4613c17dd988e2824808,helen,US,,Hearthstone: Heroes of Warcraft
2015-01-01 20:04:18,23f8732dc749e9b8c3d97c8304fd19e982a74792,e3f0c9e840f593209c09a187e6043dcfca22676a,george,,iphone_t,DayZ
2015-01-01 19:31:10,3e664492fad89a12907971d3059c835f2c09e0dd,6705624f23ee56d58342f9297e64328231c72020,helen,IT,android,Hearthstone: Heroes of Warcraft
2015-01-01 04:13:10,517f7e8e61aac75f659f03b8000dca54b251befe,2c345f2343e447519f2208d68eb2d6afd27fb16e,elaine,TW,,Gaming Talk Shows
2015-01-01 11:07:05,11a73ea9cda44054b38f3faa66f9ce8ca6b4341d,be0805f05b15a553fe478aa91b7d34afc5d3d6e8,estelle,PE,,Dota 2
2015-01-01 04:16:41,d92d503592c4fd90af337f727cd7bd7280ec9583,7d615919e35591cf911b989982419ee51800caca,frank,US,,League of Legends
2015-01-01 14:55:26,ad0eced9e2eaee54205308e3e0a29c2acb1f85d0,4896b252d3081067c908a69b3b7d881575b1ce16,kramer,UA,,Agar.io
2015-01-01 11:18:54,eaf91e24c38ffadd57d835936873cd6b3a9519de,2008799ae90e4bb36c430bcb2433d907ca8751f8,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 20:27:22,48d4a81e4be62e732274daac78dc249a2aaa7d40,810b336e36e350e3f71404accf6c0e6a6a511487,george,,,DayZ
2015-01-01 03:32:39,ceb7dfd09915f3afd26aa8538462fd360ff5af25,d0ed2ed8c6113e2a176f5d8b8eeafd38a74f29a8,frank,BG,,League of Legends
2015-01-01 00:26:03,a7865c6be703f6de78467e0d0464606f446f9978,ecb94f3b6c647264e5f8f6b8a307b3d911e3b2d2,frank,TW,,League of Legends
2015-01-01 12:35:04,b7375a032f65a6596f9a56f9696ca7ca005b7420,267fce7cb79b10285935a79c76f89c66ef613aa3,kramer,US,iphone_t,Counter-Strike: Global Offensive
2015-01-01 20:15:11,51df67256bbdf47b3bb61d4da7b042c6a34ae223,079dc4b72bad5e0e526ae9af53eb21260759ec71,susan,RU,,World of Tanks
2015-01-01 22:34:44,3b1c434a009c3a1f6cf28961c6f7f8ca89c66bc2,8b18118c00e1c122e1d859b6ac2551eddb387ce1,frank,US,,League of Legends
2015-01-01 03:55:53,47924df37d313ceda6a90b570e56d67b5d00ce06,c20655921de72066b99b0293fbd32637f03ecf9e,frank,AL,,League of Legends
2015-01-01 14:43:04,0bf13fa1ff136dee5772c5c7848232308a8c9da8,6b65a912e1fe923bccf36d3a81d5b0cb48995d36,morty,ES,,Heroes of the Storm
2015-01-01 11:29:32,2ca7ff6dccc39e94f71713cafb33edd7e7200a36,c3050e508e6496d7bf8202714db1a4bf74cf8773,estelle,,android,Dota 2
2015-01-01 16:29:52,09c96aae35d1ca4327ba723d7a5b86d3bae1cfe4,e0082f704ddb9540c4b6c6ac8ca725c6ce732ee8,frank,CA,,League of Legends
2015-01-01 10:19:17,a9225c9e2fc61720407a0448b0e333549ac1ffc5,2812d3e57c2415edff6583f7522981205452bd46,elaine,TW,,Gaming Talk Shows
2015-01-01 19:31:00,4c1352f5cc2e3de3c7748203fd5cc38e129f8ef9,6b246a1d38cf00bb113f39ab5e0e76d93813f9af,helen,CA,iphone_t,Hearthstone: Heroes of Warcraft
2015-01-01 08:15:42,0703a1223193d71d9cbcad6800423274137e97ee,993c986540d9c6ef6ab1bdd83a50c57bb1c31350,elaine,TW,,Devil May Cry 4: Special Edition
2015-01-01 03:43:09,242207540b1d20265db6186123a4ca9c334aedf3,94db73b8589f4861b56a583b6a4471e0f6054de8,frank,PR,,League of Legends
2015-01-01 17:40:08,03daa89d329533fc9ab4ad6f54a860da0490b6b4,c5d706b06599072866254fe4f9ff6a3b778c459a,frank,CA,,League of Legends
2015-01-01 11:42:21,25be4ef42ca59958255743459d6fcda799904523,5bd1450eef02dbd460be58f1560f5313d43ec927,morty,CA,,Heroes of the Storm
2015-01-01 16:54:16,a8d0e4e296c144aad129ecec04b8e46083764961,29b01e81ba0ecaa9cf98c30de7c8eb5235fc42bf,helen,US,,Hearthstone: Heroes of Warcraft
2015-01-01 12:56:59,722d60682ddb4eeb1b44ed744cc6f32b3e5b2708,c40daa80618bb058352ed6a507f902a4e02a0705,estelle,US,,Dota 2
2015-01-01 11:49:07,828995a892062339721bb9454849161856f35e78,ab9239908a3b372a96ec12085e613b86ea3bb9df,elaine,TW,,Gaming Talk Shows
2015-01-01 22:38:37,ee2bd63d02088103c6633ad5ca43a264fbec146a,aea9fd88fd71b836f238fb2cf2f8346801d0aec6,george,US,android,DayZ
2015-01-01 15:46:06,59ac351313601c73a73d23a381c571db74ff6bd4,b5e7c05341eb39fd4f5e150e44e9147437b2deb2,frank,RO,android,League of Legends
2015-01-01 11:26:47,723b68ca312e81f890258df7aa04c232661e7295,b6ec97790405246543760d6c84bad5b082815d6f,estelle,PE,,Dota 2
2015-01-01 07:25:37,a78b32ec6b0687c134ebfca0505158ea913dbf9f,fcb3b8cc1526624652c9488266683d2d14b43c78,elaine,TW,,Gaming Talk Shows
2015-01-01 04:40:21,d389229b2c0a05007d5af1c44b36880144e23acc,8804979013496e3c9df4e68639298f140c294ca0,frank,DK,ipad_t,League of Legends
2015-01-01 19:28:39,e550f2ffddb361aa32f8e5bfb20436e349131731,ecd2ef87e5c8123322485d16cb7884a7b4318076,helen,,,Hearthstone: Heroes of Warcraft
2015-01-01 00:38:12,d4021d4e9233b3e33428866fa2f517942a1108a6,05e3ab4e91de6b010a52d57ae7f99e29aec233c8,frank,US,iphone_t,League of Legends
2015-01-01 14:57:35,a46b9131ac99a843b4f60f7128af144e0ce074fd,d4f23a22bec2d7990720fdae1b977b147b8f3749,morty,DE,,Heroes of the Storm
2015-01-01 20:47:41,b2aa61f68471060f6b395703cf6a21244ecba6fb,3d631526014099038880c212acc798ff2865a6b0,frank,US,,League of Legends
2015-01-01 11:27:17,1c42b288f7195650bcf157d167ead483c146ceb6,593d72595bd68d8a656477aa8df8efdb186863e5,estelle,US,,Dota 2
2015-01-01 12:15:09,0173f94ddf5500c52663077c9208417c8ddb142e,421d4a0edfd717973858ae6df8a51e90a209d0f1,estelle,RU,,Dota 2
2015-01-01 20:50:07,0e412fe3ba2aaa6c4635864a2770fa1fb7315970,aa4099c3338e40d5b1833b22ce796884fe9a2916,frank,EC,ipad_t,League of Legends
2015-01-01 05:50:45,5c6838ccfe43dcf8830f2ce203854a0b70e96f06,691ffefdb81c901b953927546685f71a6b0e8ae3,elaine,TW,,Gaming Talk Shows
2015-01-01 19:48:47,510be037c775b7f86bdf89a60ec61c97aac3aa5f,33d5d5c0bf26b5eb448ae1d3b9a7b9d81ffa5cee,newman,US,iphone_t,The Binding of Isaac: Rebirth
2015-01-01 13:45:54,3711ab94380a072b672fcf1e164f14f8a040021f,050fb7ae165cee92f5dc6afe7e88af5f28df5c9b,morty,PH,,Heroes of the Storm
2015-01-01 07:10:16,b2870c6551dde36ff5e91aeab9575d44caed68c0,7ce1cca64cdf0fc858422f3fc5230dc35a986d3c,elaine,TW,,Gaming Talk Shows
2015-01-01 19:09:01,d000a34ce09ad57044f2ffdc4109655ee46e88fc,e129ce51f04d286eef261afd40716fb60f990896,morty,CA,,Heroes of the Storm
2015-01-01 05:39:31,64a4546573f40b830305b229b3b3853a3172d399,89d5ebbb0514ebbda18c5b799de415830b98d0d2,george,AR,ipad_t,ARK: Survival Evolved
2015-01-01 04:14:02,ab042ab1f214d12c4ce2650daa5bf85d02ebf943,bf6826fb415f084954392fd51d297b584e80c91a,frank,,,League of Legends
2015-01-01 02:05:42,5757fa27ffbb6bed2186822f81d1625167134e67,65b423696075cc69c0a89b3b7f5abc2b76d9e8da,elaine,TW,,Gaming Talk Shows
2015-01-01 18:37:28,0502c39b653890c62f419fd09e1f5401ef88f949,46b58638d2f5dd87e159e4ba390947f3e27512de,helen,IT,iphone_t,Hearthstone: Heroes of Warcraft
2015-01-01 10:24:42,b998aea69ec85ae5c2da42965cd920b335f4af31,6e1f6aab747674e81c0207dd61e90b28f836a9ff,elaine,TW,,Gaming Talk Shows
2015-01-01 12:38:02,f36707a346578c10836ce8daf01b3fb3edeb7077,df64c07d7ecdbcccb36e6cefd12bf3f633a619db,morty,GB,iphone_t,Heroes of the Storm
2015-01-01 20:53:20,ede241843b00cdc324285011fe4aaa82bf39a2e0,7989396683d94d4b6d20573db5765bd82e9be4b4,frank,US,,League of Legends
2015-01-01 05:05:48,2158648656ed9587429dc1f56b91bbc6a1cb3ac4,65156dd6d644bedb5c8a72062dffe9fa33eb6bc6,frank,GB,,League of Legends
2015-01-01 22:14:12,3893aec35d573da389853dff9ecd92e4e82be71b,92dcfaedadf9a9d1c348977c0998cd37bfc4130f,frank,FR,,League of Legends
2015-01-01 18:24:36,797cb2539b847a7f61ea0f42f6d41e20b76fab99,7dea7e5220e2b0bf62758f21137231ac3d11ece6,frank,US,,League of Legends
2015-01-01 11:22:23,36ad71985afe086682b7a7b1c6e67bfc6226e0bd,71002035ee915430cd2aa696923b5d38746af2e7,estelle,ID,,Dota 2
2015-01-01 17:25:07,0e4103a4aeb08e9682f6c42835c59e15b1e0d325,34ba94bf59014a5559db784c27010aab37fcb596,newman,DZ,,Rocket League
2015-01-01 17:22:17,76faf9b705a2d5f0bea186a6cbaa516134ea9083,d7102c1315e3cfdffa038c772b62a0d3d4ccb8dd,jerry,RU,,Dota 2
2015-01-01 20:45:01,5b8c1b44bafaf3a6936637f128df8a6f58190780,6392a81afc439f9fb87a7c4e11b1529aa8d96597,frank,US,,League of Legends
2015-01-01 13:43:17,ea81f22c9e1a134d5177c5011e7044b0f38d588b,9e84f768bc48adc517748bb91dd68122fdbedaac,estelle,PE,,Dota 2
2015-01-01 02:23:11,ebff69a04bfb19851feb6233cafe9acaa7945d3b,ea7671ba0d308f6ec3706570e524ecffd539dd26,frank,US,,League of Legends
2015-01-01 12:59:37,a1acd3b6a34f10cd9ce3cf4fbcece35cae28f147,cceb93f1cff07df50bc7fb96f7a1c52b44529acd,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 23:25:55,18af3ad701aab34b7d0386cd5e6a8a3e4d539813,5b1c375bc52eb32e26bda80cf1cbeca4ac965956,frank,US,android,League of Legends
2015-01-01 14:59:44,4de47f8e93260faadd4145c7237089d51ac5a3ee,f2492f6981bf2ddb93f00c6ebbfd140dfad02138,kramer,IS,ipad_t,Agar.io
2015-01-01 10:19:55,a6fc050237a363e3d7400ee36a7f14d84466abfb,dec25fef209b4a5689c0779c6bcb6f59e9d8cff2,elaine,TW,,Gaming Talk Shows
2015-01-01 04:09:16,06fe8e33ceda39d62f061331be815b265e3ad0f2,afe1f88130121489e286e86d1232c473b907251c,frank,US,iphone_t,League of Legends
2015-01-01 20:59:04,43c38b12764b1b674e294e288ac131329ef307c7,035f9f3b91a977d594465ce94097cc7eb470dada,frank,US,,League of Legends
2015-01-01 02:02:24,f754e6b116b269af94d442742b33d6dae57cc926,ebbc463317d4ac644e99760c9f7c405569aa6331,elaine,TW,,Gaming Talk Shows
2015-01-01 16:45:27,2e1ec947e7388dda7e2838d5409e13ffd1b44255,7286fec5225eec0b8fb037b02adf0c3c51866c87,susan,RU,,World of Tanks
2015-01-01 01:31:05,fefb9ecf5ae63b569f9d170a4be9d1cf27862de3,3d45b26d144b6bff895f856b1c6a4e491af28619,frank,BG,,League of Legends
2015-01-01 13:43:11,ea81f22c9e1a134d5177c5011e7044b0f38d588b,9e84f768bc48adc517748bb91dd68122fdbedaac,estelle,PE,,Dota 2
2015-01-01 09:26:49,c3ad86ff28e1a83522c653bea5795169037889eb,6365d7fac674194048c70b40f87661f37fcbcfea,elaine,TW,,Gaming Talk Shows
2015-01-01 03:35:39,84fd15a062da5270cdc2c1c54d421d3005c1c6e9,7024e84f74254fe9351716f84471ed8401576b69,elaine,TW,,Gaming Talk Shows
2015-01-01 01:02:59,d4021d4e9233b3e33428866fa2f517942a1108a6,05e3ab4e91de6b010a52d57ae7f99e29aec233c8,frank,US,iphone_t,League of Legends
2015-01-01 21:43:16,8d0d3e4171e5d2bcebe0dac85059dd25fab0a262,a812e6a1c19ce16f1d29957af01164456d863257,george,US,android,DayZ
2015-01-01 14:14:06,db934dab5d5d737be627588aeb800bfa0878c4c7,5638a5467eefa13b7a8563c9cbc23f28f45f23e4,kramer,NO,iphone_t,Counter-Strike: Global Offensive
2015-01-01 13:28:27,ff0c0dcccdf77291ba1c17c7494fa12d6de29920,b96763bbc083a1ef00f1a8619a2bc80f302afe37,estelle,SK,,Dota 2
2015-01-01 17:24:28,797cb2539b847a7f61ea0f42f6d41e20b76fab99,7dea7e5220e2b0bf62758f21137231ac3d11ece6,frank,US,,League of Legends
2015-01-01 04:19:00,5b022fafcb8ec3324d0a246755409dbf41f8039c,7e240157da542aa17636ee188c4d0c1c38f80658,frank,US,,League of Legends
2015-01-01 21:15:57,b30cbd7b3edc1c866e7f39b95c0d74d63fca003e,b383955554e01470b4cc3eb41eb1c1ea91ef6330,george,US,iphone_t,DayZ
2015-01-01 23:17:46,c28a2e202a7daca93ba44069062fc90c5b56e3a7,853271558af6e0cd649d2458ddff12c765168808,frank,NO,,League of Legends
2015-01-01 16:34:26,09c96aae35d1ca4327ba723d7a5b86d3bae1cfe4,e0082f704ddb9540c4b6c6ac8ca725c6ce732ee8,frank,CA,,League of Legends
2015-01-01 15:57:09,8555758abd980c62d6611501eed94e795aab2207,3a41053e2a409512bc3b3b386e90cccce5623e3b,frank,US,,League of Legends
2015-01-01 14:40:27,59cec9b72189f44fe867b2c0a2793538c0c5ec36,c56656c49e87010d132569b3e9037deedc921e45,kramer,US,iphone_t,Agar.io
2015-01-01 12:31:18,633f025a02c38cede2de0eeba73d22b8f75cf95e,d4a5370c5db8d670dda80e9e3328ad1cec89ddab,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 17:06:48,e54511c56d61c1af814ce50ba3e4173acf55ec8d,bf53dd79137c950159dc4fda89d22eef74552347,frank,TR,,League of Legends
2015-01-01 04:04:19,2c3b69d5faecc1cfb0d5f014416548f998d1a60f,dd710f81f309da1e68982f3070914d68a0f7f5c7,frank,GB,,League of Legends
2015-01-01 17:37:06,f0e75ca81235882ed68d65c84472251c891b001a,0247e611c0d8927967f821295801632636dab64d,jerry,RU,,Dota 2
2015-01-01 05:18:07,a8bc42bca5e72eb08c88ad7284c677034a57986d,a0a090987c2bf7ae358401f0f125293599070f46,frank,,,League of Legends
2015-01-01 18:39:27,7f054b824ed505b2d86f7dfc84c6347adefd7651,d0d4ebd1fa85e52807c3703e8a37ba43d03b05e5,newman,US,iphone_t,The Binding of Isaac: Rebirth
2015-01-01 16:01:04,1c3a1ec3f6112a915be989fbb9edbafccf828358,0e7688355b6d9d5655e72ce83bffe6e0a6d57929,frank,US,,League of Legends
2015-01-01 17:14:12,797cb2539b847a7f61ea0f42f6d41e20b76fab99,7dea7e5220e2b0bf62758f21137231ac3d11ece6,frank,US,,League of Legends
2015-01-01 13:02:59,a0331b0a8240d0875d2ac585c7f2c922042458b0,35ba76c17431aea7da52b95d4f635be869aee9ff,estelle,CA,,Dota 2
2015-01-01 21:39:33,9b7a8495877f07b86142c30c337993abc8296043,67ec0ff694fffb2945e21a3128fd9a609a120d4b,george,US,iphone_t,DayZ
2015-01-01 13:05:08,38b6bcc3b08e4ead4014242402553a576faff609,a036d507fa0aa5f92bf8a688285b030b1b397456,susan,KZ,,World of Tanks
2015-01-01 01:53:48,06dc581da4b86b82ab7d74632879967771af922c,fca2c104dfe05b7652bbdad1719475803ef35f57,elaine,TW,,Gaming Talk Shows
2015-01-01 14:18:19,82eb79738f81db7d110179a16f47516a0cdcb8df,024d6eaae72be4d0e8b2c24d67b0ec1b43a177c0,kramer,US,android,Counter-Strike: Global Offensive
2015-01-01 02:17:58,b274cbfc55e55a363978eacffac06f6dedb6e1e9,8ca2bb43f9b5e40f9b0dc814adb3b9dab17a2854,susan,RU,,World of Tanks
2015-01-01 20:05:47,a918018386567633957d18a3e217bdd500147d03,471a0c57752d8d8fce461238de2dd601d28c3c46,helen,,,Hearthstone: Heroes of Warcraft
2015-01-01 04:21:30,bb70b5361cfa28f3cce78e01b0fdb2eccbf4996d,eed075f9c30f46aa10a2e89e745b6df251ef1be5,frank,PL,,League of Legends
2015-01-01 17:28:19,4bb229e4850e0b8f29934ae942490a415b29337e,6290a440015f386908832dbd143012d674da3cbe,frank,CA,,League of Legends
2015-01-01 23:22:28,b315f25e0674f240153b775da43da68d3b100aee,e3c2ca22dcb1ecdcdb899747bf00cec0abe50cec,frank,DE,iphone_t,League of Legends
2015-01-01 03:19:22,28e398129ebcf78839cdafb095727fda0db1d7f6,bdd221afc80ce429e8e1c8f76f209c80fba6527e,frank,BE,,League of Legends
2015-01-01 09:57:08,cf016572654683aee7c977ec4d9992d9eac713c8,2eb27df1885d1cd9527f7340f1232bd57570e832,morty,GB,,Heroes of the Storm
2015-01-01 02:52:41,a8c20d0533e559614d661adaaa8ac46542ca09ca,142a8a3aa303773adbd4424dcdb0f29fa281b529,frank,US,,League of Legends
2015-01-01 23:41:12,bca086bf764759f5c6381689facc9fa09feb506b,1ca8b98fc543231c362eb6613aa9e4d49fd2f518,george,US,iphone_t,DayZ
2015-01-01 04:12:02,3b1c434a009c3a1f6cf28961c6f7f8ca89c66bc2,8b18118c00e1c122e1d859b6ac2551eddb387ce1,frank,US,,League of Legends
2015-01-01 17:30:39,e54511c56d61c1af814ce50ba3e4173acf55ec8d,bf53dd79137c950159dc4fda89d22eef74552347,frank,TR,,League of Legends
2015-01-01 13:08:40,1c349c2fe1224c113caa55ade7deea2b4f33e72d,41b8d2736203e26cabb90b42cc7b8b207ab0d72b,estelle,PK,,Dota 2
2015-01-01 12:01:12,fffdf873309fa2d8aa42cf70bfac04da685b97df,3835561698fa0f355deb425abf467ecbbd5a931e,kramer,KZ,ipad_t,Counter-Strike: Global Offensive
2015-01-01 23:26:02,b397ce4144e63099696ca4a2d74692a3ee2b0512,ad705aa87ec78505b9656dcb2ef03fc2b007633b,frank,IL,,League of Legends
2015-01-01 04:54:06,3bd0112a634645a26c5ed631ba275eb97f62c6f5,ed3de31a2b37f8e461a182ab88492ff171c799db,george,AU,ipad_t,ARK: Survival Evolved
2015-01-01 20:23:00,4f84123b5815f02177214068cae27b056c165031,add5a9c4618dceffe51755b94d0f573595becc87,newman,US,iphone_t,The Binding of Isaac: Rebirth
2015-01-01 14:35:22,3bce4570f3f233d84b9ac3321f990eef7f0644a0,f052831d67692aa759e4f3c514f773852485a406,morty,US,,Heroes of the Storm
2015-01-01 02:14:14,91d8204a6d765647982a098a4f314949456f88bb,929aad313741307d862852475c9bcf57d242aa24,elaine,TW,,Gaming Talk Shows
2015-01-01 17:35:00,1070e0560506c9df8360d2e2fd61e2cc8a16271b,618115051b94e1cccc63bd4a29e108b2fd6df2c9,frank,US,,League of Legends
2015-01-01 13:09:31,377cbefa3397d2156cf53328ac43845f6ac3b862,cb57b84d9ccdb2df497568904938fcc3fb650ec6,estelle,CA,,Dota 2
2015-01-01 18:47:16,1938806edff768123031794abf23573487cc1d4c,8f2fca2c5cb24d6963cbb0fc57caa1da7819c876,helen,GB,,Hearthstone: Heroes of Warcraft
2015-01-01 18:26:43,f17925c874e4de86b626cf4dee884ecde57f290e,1045f36009811a6fbce708a4f8693150cbb66bc3,frank,US,,League of Legends
2015-01-01 03:37:18,1932a4cf655326aac952add94f6023bf136b014a,ae735942304ad4ec1e1e86db70d6f51ab3552c9a,frank,GB,,League of Legends
2015-01-01 03:39:28,054eb7001df333f8a6d25db2339a93ebb9c789ce,9af0380b3d57eb125cb4da9a3f705e94bc9d67c8,frank,TR,,League of Legends
2015-01-01 21:23:38,2274a67ee2865634e6267c492610c09a2fc244c1,96276f8b19a608e4a2118455295762701ed014d7,george,US,android,DayZ
2015-01-01 12:53:35,ccb481b764344f01b02fe01a2da72267015e7c51,e29da2eed1ed1036aab904c8cfdad9416426f22c,kramer,US,iphone_t,Counter-Strike: Global Offensive
2015-01-01 03:30:23,a8c20d0533e559614d661adaaa8ac46542ca09ca,142a8a3aa303773adbd4424dcdb0f29fa281b529,frank,US,,League of Legends
2015-01-01 02:29:02,70959c63ab542334fbc5e503c9905de8c396f18e,f985aa3ffddf42686dcde7c288f989a35653d6de,frank,AU,,League of Legends
2015-01-01 22:10:20,4bdf35442c1e23c0bc72bfd16bfb882655c64a33,e8e725fcca8024b911df04b30792a20940570dbb,george,US,,DayZ
2015-01-01 16:03:56,895bac33d416d2c5f07ecb6621b39daf3114fde8,3b808190f4428411916d99cc88f152dafa2032cc,susan,BY,,World of Tanks
2015-01-01 04:14:20,6bf4fb0b4819b4746a584f0ae4d9e6b6025af507,1d43a07e4fce7448ec6467d985f390bd8974eeff,frank,PH,,League of Legends
2015-01-01 01:51:31,3c7086e70999543fb25117c5a59a8b0b329e110c,dc1894002a06a832a6d40d21469c3a9c47aa5810,frank,US,,League of Legends
2015-01-01 04:12:48,16c248a04f4679bcf0a135bde6d56efe280eef22,f1261a88d143cd17f5206f4a03c4611818ae6f7f,frank,GR,,League of Legends
2015-01-01 15:35:25,dcffedc3f5a46a895d70d70d5c9c9abfdcb7c33d,8464a5359d8df9d6636355b391b8748d856bc61b,elaine,TW,,Gaming Talk Shows
2015-01-01 13:01:48,df37e7bf4850508f4e154c3ad038ea8068661665,25d97dff890cc9b85105b39db2dd0f54b1361fe0,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 13:39:31,fb6fa263ee110fa5ebc64f527d4c63b816bb7eec,45ccd9a1d5d73a216e34a159435a2f9d70b3bf15,estelle,PH,,Dota 2
2015-01-01 10:38:13,457c19f3e28e6df8489f2bb666a38a2fefa0c8d6,f1280f9f6b96e2ba8e62f66ed4bce6750847ee3f,elaine,TW,android,Gaming Talk Shows
2015-01-01 20:49:58,0801e582b05de7bdeb4abfa27a2307a3e0ec1fb4,4232fe9bc8740e81580e22b1dd0da99871d9c0e4,frank,US,,League of Legends
2015-01-01 20:08:07,24a2272cc6b6143d778eb7b992cc0a150cbf415e,f6d67568c0a16d16d43a7f9d02d3ec2a89ca2641,newman,CA,,The Binding of Isaac: Rebirth
2015-01-01 17:29:12,57b17728e63395eeabde8c209d55e7619180aa0d,5417b8a336e821163bd8cbd2275bfc4dfbfbe08b,susan,RU,iphone_t,World of Tanks
